科目编码,科目名称,核算维度编码,核算维度名称,期初余额借方,期初余额贷方,本年累计借方,本年累计贷方,期末余额借方,期末余额贷方,文件来源,公司,期间,币别,subject_code_path,subject_name_path,is_dimension_row,年份
1001,库存现金,,,12006.579999999998,0.0,45000.0,37668.17,19338.41,0.0,ky-txw-2024.csv,广州金发碳纤维新材料发展有限公司,2024,综合本位币,/1001/,/库存现金/,False,2024
1002,银行存款,,,23059593.580000043,0.0,659501206.26,670621055.12,11939744.72,0.0,ky-txw-2024.csv,广州金发碳纤维新材料发展有限公司,2024,综合本位币,/1002/,/银行存款/,False,2024
1002.02,　　工商银行,,,5368433.460000038,0.0,613689893.43,612556812.63,6501514.26,0.0,ky-txw-2024.csv,广州金发碳纤维新材料发展有限公司,2024,综合本位币,/1002/1002.02/,/银行存款/工商银行/,False,2024
1002.02.01,　　　　人民币3602028909200715415,,,5000000.0,0.0,612495799.57,612495799.57,5000000.0,0.0,ky-txw-2024.csv,广州金发碳纤维新材料发展有限公司,2024,综合本位币,/1002/1002.02/1002.02.01/,/银行存款/工商银行/人民币3602028909200715415/,False,2024
1002.02.02,　　　　美元3602028909140067917,,,8798.200000000023,0.0,919112.27,16142.8,911767.67,0.0,ky-txw-2024.csv,广州金发碳纤维新材料发展有限公司,2024,综合本位币,/1002/1002.02/1002.02.02/,/银行存款/工商银行/美元3602028909140067917/,False,2024
1002.02.03,　　　　欧元3602028909380068777,,,359635.25999999995,0.0,274981.59,44870.26,589746.59,0.0,ky-txw-2024.csv,广州金发碳纤维新材料发展有限公司,2024,综合本位币,/1002/1002.02/1002.02.03/,/银行存款/工商银行/欧元3602028909380068777/,False,2024
1002.03,　　广发银行,,,17691160.120000005,0.0,45811312.83,58064242.49,5438230.46,0.0,ky-txw-2024.csv,广州金发碳纤维新材料发展有限公司,2024,综合本位币,/1002/1002.03/,/银行存款/广发银行/,False,2024
1002.03.01,　　　　人民币9550880227868500199,,,11355022.169999998,0.0,37064270.53,44455374.33,3963918.37,0.0,ky-txw-2024.csv,广州金发碳纤维新材料发展有限公司,2024,综合本位币,/1002/1002.03/1002.03.01/,/银行存款/广发银行/人民币9550880227868500199/,False,2024
1002.03.02,　　　　美元9550880227868500289,,,6336137.949999999,0.0,8747042.3,13608868.16,1474312.09,0.0,ky-txw-2024.csv,广州金发碳纤维新材料发展有限公司,2024,综合本位币,/1002/1002.03/1002.03.02/,/银行存款/广发银行/美元9550880227868500289/,False,2024
1121,应收票据,,,3056564.4099999983,0.0,14367366.15,17096778.56,327152.0,0.0,ky-txw-2024.csv,广州金发碳纤维新材料发展有限公司,2024,综合本位币,/1121/,/应收票据/,False,2024
1121.01,银行承兑汇票,,,3056564.4099999983,0.0,14367366.15,17096778.56,327152.0,0.0,ky-txw-2024.csv,广州金发碳纤维新材料发展有限公司,2024,综合本位币,/1121/1121.01/,/应收票据/银行承兑汇票/,False,2024
