大类,中类,小类,年,月份,基地,时间,合同号,设备/服务名称,中标供应商,数量, 合同单价（元） , 合同总价（元） ,预算金额（元）,付款方式,跟单人
,,,2024,1,碳纤维,2024/1/5,KINGFA20240105-1,变频器维修,广东友仪技术股份有限公司,1," 5,200.00 "," 5,200.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,1,碳纤维,2024/1/5,KINGFA20240105-1,变频器维修,广东友仪技术股份有限公司,1," 4,800.00 "," 4,800.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,1,碳纤维,2024/1/7, KFTXWCCC20240107,油温机、冷水机管路安装 ,广东省石油化工建设集团有限公司,1," 100,000.00 "," 100,000.00 ",,安装调试完毕并经双方有关部门验收合格且收到乙方开具的全额可抵扣增值税发票一个月内付清。,王娜
,,,2024,1,碳纤维,2024/1/7, KFTXWCCC20240107-1,VE4裁切工装,惠州博源模具科技有限公司,1," 10,000.00 "," 10,000.00 ",,货到验收合格见13%增值税专用发票一个月内付清,王娜
,,,2024,1,碳纤维,2024/1/10, KFTXWCCC20240110,新增监控,上海湘辉电子科技有限公司,1," 200,000.00 "," 200,000.00 ",,安装调试完工后见13%增值税专用发票一个月内付清,王娜
,,,2024,1,碳纤维,2024/1/12, KFTXWCCC20240112,层压机废气收集,广州尚洁环保科技股份有限公司,1," 130,000.00 "," 130,000.00 ",,,王娜
,,,2024,1,碳纤维,2024/1/15,KINGFA202301218-1,切纸机维修,广州鑫盛印刷机配件有限公司,1," 4,780.00 "," 4,780.00 ",,现付,陈嘉俊
,,,2024,1,碳纤维,2024/1/16,KFTXWCC20240116,升降平台改造,广州精宇汇机电设备有限公司,2," 25,000.00 "," 5,000.00 ",,验收合格见票一个月,王娜
,,,2024,1,碳纤维,2024/1/25,KFTXWCC202400125-1,笔记本电脑,清远市博创信息科技有限公司,1," 4,800.00 "," 4,800.00 ",,月结,陈嘉俊
,,,2024,1,碳纤维,2024/1/25,KFTXWCC20231010-1,弹片-A2模具,惠州博源模具科技有限公司,1," 6,800.00 "," 6,800.00 ",,月结,陈嘉俊
,,,2024,1,碳纤维,2024/1/25,KINGFA202100125-1,西门子电源维修,广东友仪技术股份有限公司,1, 800.00 , 800.00 ,,月结，票到一个月付款,陈嘉俊
,,,2024,1,碳纤维,2024/1/25,KINGFA202100125-1,中西控制器维修,广东友仪技术股份有限公司,1," 2,900.00 "," 2,900.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,1,碳纤维,2024/1/25,KINGFA202400125-2,行车保养,广州五杰机械有限公司,1," 9,000.00 "," 9,000.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,1,碳纤维,2024/1/25,KINGFA202400125-3,CNC改造,广州鼎申机电设备有限公司,1," 13,000.00 "," 13,000.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,1,碳纤维,2024/1/25,KINGFA202400125-4,车间软水系统保养,东莞市杰邦水处理有限公司,1," 28,000.00 "," 28,000.00 ",,现付,陈嘉俊
,,,2024,1,碳纤维,2024/1/29,KFTXWCC20240129,固化炉GH-1800,威海亚非达机械科技有限公司,1," 19,000.00 "," 19,000.00 ",,设备到甲方工厂安装调试验收合格后见13%增值税专用全额发票一个月内付清,王娜
,,,2024,2,碳纤维,2024/2/1,KFTXWCC202400129-1,自动多轴碳纤维管加工机,广州市先知精密机械制造有限公司,1," 160,000.00 "," 160,000.00 ",,预付款   3-6-1,陈嘉俊
,,,2024,2,碳纤维,2024/2/1,KINGFA202400201-1,机械手吸盘改造,四维机械科技（广州）有限公司,1," 11,500.00 "," 11,500.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/1,KFTXWCC20240301,蜂窝芯挤出段,张家港市博迪塑料机械有限公司,1," 358,000.00 "," 358,000.00 ",,合同签订后预付合同总金额的30%作为预付款；发货前双方于乙方工厂对设备进行预验收，预验收证明不作为最终的验收依据，预验收合格付合同总金额的30%作为发货款；设备到甲方工厂安装调试验收合格后见13%增值税专用全额发票一个月内付30%验收款，合同总金额的10%为质保金，在质保期（验收合格之日起一年）届满后无息支付。,王娜
,,,2024,3,碳纤维,2024/3/4,KINGFA202400304-2,叉车维修,广州富强机械设备有限公司,1," 12,000.00 "," 12,000.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/4,KINGFA202400304-1,变频器维修,广东友仪技术股份有限公司,1," 4,300.00 "," 4,300.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/4,KINGFA202400304-1,变频器维修,广东友仪技术股份有限公司,1," 1,300.00 "," 1,300.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/8,KINGFA202400308-1,有毒有害气体报警仪+有毒有害气体报警仪，主机1台+2个探头，3*1.5电缆线50米辅材一批，人工2100,清远市汇友五金建材有限公司,1," 3,200.00 "," 3,200.00 ",,月结,陈嘉俊
,,,2024,3,碳纤维,2024/3/9,KFTXWCC20240309,污渍检测设备,广州市斯睿特智能科技有限公司,1," 196,000.00 "," 196,000.00 ",,合同签订后预付合同总金额的30%作为预付款；发货前双方于乙方工厂对设备进行预验收，预验收证明不作为最终的验收依据，预验收合格付合同总金额的30%作为发货款；设备到甲方工厂安装调试验收合格后见13%增值税专用全额发票一个月内付30%验收款，合同总金额的10%为质保金，在质保期（验收合格之日起一年）届满后无息支付。,王娜
,,,2024,3,碳纤维,2024/3/14,KINGFA202400314-2,叉车蓄电池更改，48V575A国产,广州富强机械设备有限公司,1," 16,500.00 "," 16,500.00 ",,月结，票到一个月付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/14,KINGFA202400314-1,维修键式气胀轴，Φ3˝*1750*2190mm,东莞市莱森精密机电有限公司,1," 1,050.00 "," 1,050.00 ",,验收后票到15天内付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/14,KINGFA202400314-1,维修键式气胀轴，Φ3˝*2040*2310mm,东莞市莱森精密机电有限公司,1," 1,250.00 "," 1,250.00 ",,验收后票到15天内付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/14,KINGFA202400314-1,维修键式气胀轴，Φ6˝*1700*1850mm,东莞市莱森精密机电有限公司,1," 2,060.00 "," 2,060.00 ",,验收后票到15天内付款,陈嘉俊
,,,2024,3,碳纤维,2024/3/14,KINGFA202400314-1,维修键式气胀轴，Φ6˝*2040*2310mm,东莞市莱森精密机电有限公司,2," 2,380.00 "," 4,760.00 ",,验收后票到15天内付款,陈嘉俊
